Title,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Description,Page Number
"4 BHK Flat  for Rent in Hitech City, Hyderabad",,Furnished,5,Family,Immediately,3300,carpet-area,9,14,East,2,,2
"3 BHK Flat  for Rent in Banjara Hills, NH 9, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,3500,super-area,Ground,5,East,2,,2
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Furnished,3,Family,Immediately,2000,super-area,5,17,East,1,,2
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Family,Immediately,1796,super-area,11,35,East,2,,2
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1620,super-area,13,24,West,2,,2
"3 BHK Flat  for Rent in Shaikpet, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2876,super-area,20,32,East,3,,3
"4 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,4,Bachelors/Family,Immediately,4761,super-area,5,20,East,3,,3
3 BHK Flat  for Rent in  Hyderabad,,Semi-Furnished,4,Bachelors,Immediately,2400,super-area,2,5,East,2,,3
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,4,Family,Immediately,2406,carpet-area,8,14,West,1,,3
"Studio Apartment  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors/Family,Immediately,365,super-area,2,5,East,1,,3
"4 BHK Flat  for Rent in Forest Dept Colony, Kondapur, Hyderabad",,Semi-Furnished,4,Family,Immediately,3000,carpet-area,9,25,East,2,,3
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Family,Immediately,1335,carpet-area,21,34,East,1,,4
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,,Const. Age New Construction,1361,carpet-area,31,34,East,2,,4
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",,Furnished,5,Family,Immediately,4600,super-area,6,24,East,3,,4
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,980,carpet-area,10,17,West,2,,4
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",,Unfurnished,3,Bachelors,Immediately,1926,super-area,18,39,East,1,,4
"3 BHK Flat  for Rent in Gowlidoddy, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1530,carpet-area,22,29,East,2,,4
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors,From Mar '26,2124,super-area,26,35,West,2,,4
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,865,carpet-area,24,24,West,2,,4
"4 BHK Flat  for Rent in Manikonda Jagir, Hyderabad",,Furnished,5,Family,Immediately,4200,carpet-area,18,28,East,1,,4
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,949,carpet-area,21,31,West,1,,5
"2 BHK Flat  for Rent in Nalagandla, Hyderabad",,Semi-Furnished,2,Family,Immediately,1275,super-area,23,24,East,1,,5
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,20,39,East,1,,5
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,3,Bachelors,Immediately,1800,carpet-area,4,5,North - East,3,,5
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Unfurnished,3,Bachelors,Immediately,1742,super-area,28,34,West,1,,5
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,700,carpet-area,4,5,North - East,1,,5
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1200,carpet-area,3,4,North - East,2,,6
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors,From Apr '26,2625,super-area,9,20,North,2,,6
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,4,Family,Immediately,2500,carpet-area,7,9,West,3,,6
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,866,carpet-area,6,18,West,1,,6
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2124,super-area,17,35,West,1,,6
"3 BHK Flat  for Rent in OU Colony Shaikpet, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1840,carpet-area,11,27,West,2,,6
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1200,carpet-area,15,39,East,2,,6
"2 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1150,carpet-area,9,39,East,1,,6
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,4,Family,Immediately,2580,carpet-area,9,15,East,2,,6
"1 BHK Flat  for Rent in Sri Ram Nagar Kondapur, Hyderabad",,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,3,6,East,1,,6
"3 BHK Flat  for Rent in Nallagandla Tellapur Road, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1875,super-area,9,24,East,1,,6
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1796,carpet-area,8,33,East,1,,6
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1993,super-area,20,34,East,3,,7
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1435,super-area,8,26,East,1,,7
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1800,carpet-area,1,3,North - East,3,,7
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,1,Bachelors,Immediately,700,carpet-area,7,7,North - East,1,,7
"3 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,3430,super-area,27,34,East,2,,7
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1200,carpet-area,3,5,North - East,2,,7
"3 BHK Flat  for Rent in Shaikpet, Hyderabad",,Semi-Furnished,3,Family,Immediately,2876,super-area,18,20,East,1,,7
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Semi-Furnished,3,Family,Immediately,1710,super-area,12,19,East,1,,7
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1326,carpet-area,10,39,North - East,,,7
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1834,super-area,24,30,East,1,,7
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Furnished,3,Family,Immediately,1880,super-area,1,19,East,2,,7
"2 BHK Flat  for Rent in Miyapur, NH 9, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1225,carpet-area,39,40,West,2,,8
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,2,Bachelors,Immediately,1400,carpet-area,6,7,East,1,,8
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1800,carpet-area,6,30,West,2,,8
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1450,carpet-area,24,39,East,2,,8
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2000,super-area,10,19,East,2,,8
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1245,super-area,7,14,West,1,,8
"3 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2125,carpet-area,5,16,East,2,,8
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1283,super-area,18,33,East,1,,8
"1 BHK Flat  for Rent in Sri Ram Nagar Kondapur, Hyderabad",,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,2,6,North,1,,8
"2 BHK Flat  for Rent in Nalagandla, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1275,super-area,11,26,West,1,,9
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2300,super-area,19,24,North,2,,9
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Semi-Furnished,2,Family,Immediately,1498,super-area,18,33,East,3,,9
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Furnished,3,Bachelors/Family,Immediately,1670,super-area,3,3,East,3,,9
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Unfurnished,2,Family,Immediately,1314,super-area,26,30,East,1,,9
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Semi-Furnished,3,Family,Immediately,2550,super-area,Ground,19,North,1,,9
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Family,Immediately,1535,super-area,15,20,East,1,,9
"4 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,5,Bachelors/Family,Immediately,3100,carpet-area,4,12,North,2,,9
"3 BHK Flat  for Rent in Prashasan Nagar, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,2800,carpet-area,5,5,North - East,3,,9
"1 BHK Flat  for Rent in Whitefields, Hyderabad",,Semi-Furnished,1,Bachelors/Family,Immediately,500,carpet-area,4,6,East,,,10
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1283,super-area,8,33,,1,,10
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1335,carpet-area,16,38,East,2,,10
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,6,10,East,1,,10
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Family,Immediately,1700,carpet-area,1,18,East,1,,10
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,,Const. Age Less than 5 years,1361,carpet-area,16,34,East,2,,10
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,520,carpet-area,5,6,East,1,,10
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Semi-Furnished,3,Family,Immediately,2465,super-area,4,19,North,1,,10
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1370,super-area,12,39,East,1,,10
"3 BHK Flat  for Rent in Shaikpet, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,2100,carpet-area,15,24,North - East,3,,10
"3 BHK Flat  for Rent in Izzathnagar, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,30,40,West,2,,10
"3 BHK Flat  for Rent in Kakateeya Nagar, Secunderabad, Hyderabad",,Semi-Furnished,3,Family,Immediately,2300,super-area,1,4,East,3,,11
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1874,super-area,7,32,West,1,,11
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1540,super-area,23,40,West,2,,11
"2 BHK Flat  for Rent in Miyapur, NH 9, Hyderabad",,Unfurnished,2,Family,Immediately,1150,carpet-area,4,5,East,1,,11
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Unfurnished,3,Bachelors,Immediately,1600,carpet-area,9,12,East,2,,11
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,900,carpet-area,18,21,East,1,,11
"3 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,3,Family,Immediately,1950,carpet-area,8,14,East,2,,11
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Family,Immediately,1850,carpet-area,38,39,East,2,,11
"5 BHK Flat  for Rent in Malakunta Financial District, Hyderabad",,Furnished,5,Bachelors/Family,Immediately,5000,carpet-area,9,25,East,3,,11
"2 BHK Flat  for Rent in Whitefields, Hyderabad",,Unfurnished,2,Family,Immediately,1100,carpet-area,3,5,West,1,,12
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",,Furnished,3,Bachelors,Immediately,1960,super-area,20,24,East,2,,12
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1740,super-area,9,14,East,2,,12
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors,From Apr '26,1261,carpet-area,13,25,North,1,,12
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,3,Bachelors/Family,Immediately,1600,carpet-area,5,5,North,2,,12
"3 BHK Flat  for Rent in Khajaguda, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,2210,super-area,6,9,East,1,,12
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,2,Bachelors/Family,Immediately,1350,carpet-area,3,7,East,1,,12
"2 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",,Semi-Furnished,2,Family,Immediately,948,carpet-area,19,39,East,1,,12
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,4,Bachelors,Immediately,2440,super-area,8,16,West,1,,12
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Family,Immediately,1535,super-area,14,20,West,1,,12
"4 BHK Flat  for Rent in Madhapur, Hyderabad",,Furnished,4,Bachelors,Immediately,2800,super-area,5,15,West,2,,12
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,4,Bachelors,Immediately,4055,super-area,5,9,West,3,,12
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Furnished,3,Bachelors/Family,Immediately,3625,super-area,15,30,North,3,,13
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,2,Bachelors,Immediately,1290,super-area,5,24,West,1,,13
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1960,super-area,10,14,North,2,,13
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1908,super-area,19,26,East,1,,13
"3 BHK Flat  for Rent in Puppalguda, Hyderabad",,Semi-Furnished,3,Bachelors,From Mar '26,1225,carpet-area,26,30,East,1,,13
"3 BHK Flat  for Rent in Chhota Anjaiah Nagar, Gachibowli, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,2200,carpet-area,10,19,East,3,,13
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Unfurnished,3,Bachelors/Family,Immediately,2160,super-area,12,14,North - East,1,,14
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,4,Bachelors,Immediately,2440,super-area,9,16,West,2,,14
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1500,carpet-area,2,5,West,2,,14
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,2,Bachelors/Family,Immediately,1450,carpet-area,5,6,East,1,,14
"4 BHK Flat  for Rent in HUDA Techno Enclave, Hitech City, Hyderabad",,Semi-Furnished,4,Family,Immediately,4095,super-area,12,20,East,3,,14
"4 BHK Flat  for Rent in Financial District, Nanakram Guda, Hyderabad",,Semi-Furnished,5,Family,Immediately,7718,super-area,26,28,East,5,,14
"1 BHK Flat  for Rent in Madhapur, Hyderabad",,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,4,5,East,1,,14
"1 BHK Flat  for Rent in Madhapur, Hyderabad",,Furnished,1,Bachelors/Family,Immediately,800,carpet-area,4,6,East,1,,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,4,5,East,1,,14
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,,Const. Age Less than 5 years,1166,carpet-area,28,34,West,1,,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,950,carpet-area,5,6,East,1,,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,560,carpet-area,4,5,East,1,,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,560,carpet-area,5,5,East,1,,15
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,560,carpet-area,2,5,North,1,,15
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,550,carpet-area,3,5,East,1,,15
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,1,Bachelors,Immediately,560,carpet-area,4,5,North,1,,15
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1900,carpet-area,1,20,East,2,,15
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Furnished,2,Bachelors/Family,Immediately,1200,carpet-area,2,30,East,1,,15
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",,Furnished,3,Bachelors/Family,Immediately,1700,carpet-area,5,5,South,,,15
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1100,carpet-area,3,5,East,2,,15
"3 BHK Flat  for Rent in Alkapoor, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,8,15,East,1,,15
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,1805,super-area,7,26,East,2,,15
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,3,Family,Immediately,1615,super-area,17,24,East,1,,15
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2020,super-area,17,39,West,1,,16
"3 BHK Flat  for Rent in Financial District, Nanakram Guda, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1950,super-area,7,9,East,1,,16
"4 BHK Flat  for Rent in Malakunta Financial District, Hyderabad",,Semi-Furnished,4,Bachelors/Family,Immediately,7700,carpet-area,25,27,East,3,,16
"1 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,1,Bachelors,Immediately,560,carpet-area,4,5,East,1,,16
"4 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,4,Bachelors/Family,Immediately,4070,super-area,32,35,East,3,,16
"3 BHK Flat  for Rent in Izzathnagar, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2188,super-area,16,40,East,2,,16
1 BHK Flat  for Rent in  Hyderabad,,Furnished,1,Bachelors,Immediately,700,carpet-area,1,2,North - West,2,,16
"3 BHK Flat  for Rent in Nanakaramguda, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1935,super-area,6,12,West,1,,16
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",,Furnished,3,Family,Immediately,1600,carpet-area,17,31,West,2,,17
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1960,super-area,9,14,East,1,,17
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1380,super-area,3,12,West,2,,17
"4 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,4,Bachelors,Immediately,3430,super-area,21,35,West,2,,17
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,2,Family,Immediately,1100,carpet-area,4,4,West,2,,17
"3 BHK Flat  for Rent in HUDA Layout Nalagandla, Hyderabad",,Semi-Furnished,3,Family,Immediately,1550,carpet-area,7,10,East,1,,17
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1961,super-area,8,30,North,2,,17
