Title,BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,3,5,East,1,32
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,3,5,East,1,33
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,4,5,North,1,33
4 BHK Flat  for Rent in  Hyderabad,4.0,Hyderabad,30000.0,Semi-Furnished,5,Family,Immediately,6000,carpet-area,10,29,East,3,33
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Semi-Furnished,1,Bachelors,Immediately,560,carpet-area,3,5,North,1,33
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,3,5,East,1,33
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,560,carpet-area,3,5,North,1,33
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",3.0,"Tellapur, Outer Ring Road",,Semi-Furnished,3,Bachelors,Immediately,1926,super-area,12,39,West,1,33
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,Bachelors,Immediately,2124,super-area,2,30,East,2,33
"3 BHK Flat  for Rent in Somajiguda, NH 9, Hyderabad",3.0,"Somajiguda, NH 9",4000.0,Furnished,3,Bachelors,Immediately,1850,carpet-area,5,8,,4,33
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,Bachelors,Immediately,1945,super-area,15,19,East,1,33
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,5000.0,Semi-Furnished,3,Family,Immediately,1198,carpet-area,23,39,East,1,33
"3 BHK Flat  for Rent in Banjara Hills, NH 9, Hyderabad",3.0,"Banjara Hills, NH 9",8000.0,Semi-Furnished,3,Bachelors,Immediately,2600,super-area,2,5,West,2,33
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",5000.0,Semi-Furnished,2,Bachelors/Family,Immediately,1375,carpet-area,Lower Basement,15,East,1,33
"4 BHK Flat  for Rent in Madhapur, Hyderabad",4.0,Madhapur,15000.0,Semi-Furnished,5,Family,Immediately,3550,super-area,10,18,West,2,34
"4 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",4.0,"Kokapet, Outer Ring Road",,Unfurnished,4,Bachelors,Immediately,7333,super-area,13,28,West,2,34
"4 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",4.0,"Kokapet, Outer Ring Road",,Furnished,4,Bachelors,Immediately,7333,super-area,15,28,West,2,34
"3 BHK Flat  for Rent in Nanakaramguda, Hyderabad",3.0,Nanakaramguda,12000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1800,carpet-area,12,30,North,1,34
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,,Unfurnished,3,Bachelors/Family,Immediately,1685,super-area,11,14,West,1,34
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",7800.0,Semi-Furnished,3,Bachelors,Immediately,2410,carpet-area,16,40,East,1,34
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",6500.0,Semi-Furnished,3,Bachelors,Immediately,1820,carpet-area,16,40,East,1,34
"3 BHK Flat  for Rent in Manchirevula, Outer Ring Road, Hyderabad",3.0,"Manchirevula, Outer Ring Road",7200.0,Semi-Furnished,3,Bachelors/Family,Immediately,1850,carpet-area,5,5,East,1,34
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,5700.0,Semi-Furnished,3,Bachelors,Immediately,1600,carpet-area,11,15,East,2,34
"4 BHK Flat  for Rent in Kondapur, Hyderabad",4.0,Kondapur,19000.0,Semi-Furnished,5,Bachelors/Family,Immediately,3500,carpet-area,7,19,West,2,34
"4 BHK Flat  for Rent in Nalagandla, Hyderabad",4.0,Nalagandla,,Semi-Furnished,4,Bachelors,Immediately,2660,super-area,17,25,East,1,35
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,4000.0,Semi-Furnished,2,Bachelors/Family,Immediately,970,carpet-area,9,22,East,2,35
"2 BHK Flat  for Rent in Krishna Reddy Pet Road, Hyderabad",2.0,Krishna Reddy Pet Road,1000.0,Semi-Furnished,2,Bachelors/Family,From Mar '26,1000,carpet-area,2,4,,1,35
"3 BHK Flat  for Rent in Nallagandla Tellapur Road, Hyderabad",3.0,Nallagandla Tellapur Road,,Semi-Furnished,2,Bachelors,Immediately,1800,super-area,Ground,14,North,1,35
"5 BHK Flat  for Rent in Jubilee Hills, Hyderabad",5.0,Jubilee Hills,,Semi-Furnished,6,Bachelors,Immediately,6000,carpet-area,2,3,West,3,35
"3 BHK Flat  for Rent in Hitech City, Hyderabad",3.0,Hitech City,25000.0,Semi-Furnished,3,Bachelors/Family,Immediately,2680,super-area,24,35,East,3,35
"3 BHK Flat  for Rent in Financial District, Nanakram Guda, Hyderabad",3.0,"Financial District, Nanakram Guda",6000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1650,carpet-area,9,15,East,3,35
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,5700.0,Semi-Furnished,2,Bachelors/Family,Immediately,970,carpet-area,10,22,West,1,35
"4 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",4.0,"Kokapet, Outer Ring Road",9500.0,Semi-Furnished,4,Bachelors,Immediately,2610,carpet-area,25,35,West,1,35
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,6000.0,Semi-Furnished,3,Bachelors,Immediately,1600,super-area,12,19,West,1,36
"3 BHK Flat  for Rent in Whitefields, Hyderabad",3.0,Whitefields,6000.0,Furnished,3,Bachelors/Family,Immediately,2100,carpet-area,5,5,East,1,36
"1 BHK Flat  for Rent in Dilsukhnagar, Hyderabad",1.0,Dilsukhnagar,,Unfurnished,1,Bachelors/Family,Immediately,1000,carpet-area,Ground,1,,1,36
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",5000.0,Semi-Furnished,3,Bachelors,Immediately,1210,carpet-area,16,39,East,3,36
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",4.0,Gachibowli,,Semi-Furnished,5,Bachelors,Immediately,2713,super-area,31,34,East,2,37
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",4000.0,Semi-Furnished,3,Bachelors,Immediately,1210,carpet-area,13,39,North,2,37
"2 BHK Flat  for Rent in Power Welfare Society, Hyderabad",2.0,Power Welfare Society,5000.0,Furnished,2,Family,Immediately,1010,carpet-area,6,26,East,2,37
"3 BHK Flat  for Rent in Chanda Nagar, Hyderabad",3.0,Chanda Nagar,6000.0,Semi-Furnished,3,Family,Immediately,1610,super-area,1,14,East,1,37
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Semi-Furnished,3,Bachelors/Family,Immediately,2335,super-area,18,39,East,1,37
"4 BHK Flat  for Rent in Izzathnagar, Hyderabad",4.0,Izzathnagar,15000.0,Semi-Furnished,4,Family,Immediately,3094,super-area,15,42,East,2,37
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",2.0,Gachibowli,5000.0,Unfurnished,2,Bachelors,Immediately,1283,super-area,20,34,East,1,37
"2 BHK Flat  for Rent in Miyapur, NH 9, Hyderabad",2.0,"Miyapur, NH 9",3000.0,Semi-Furnished,2,Bachelors,Immediately,861,super-area,4,14,North,1,37
"4 BHK Flat  for Rent in Kondapur, Hyderabad",4.0,Kondapur,,Semi-Furnished,5,Bachelors,Immediately,3420,super-area,4,20,West,2,37
"3 BHK Flat  for Rent in Satyam Enclave, Komapally, NH 7, Hyderabad",3.0,"Satyam Enclave, Komapally, NH 7",2000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1339,carpet-area,4,5,West,1,38
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,,Semi-Furnished,3,Bachelors,Immediately,2350,super-area,11,21,East,2,38
"4 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",4.0,"Narsingi, Outer Ring Road",,Semi-Furnished,4,Bachelors,Immediately,3939,super-area,23,28,West,3,38
"3 BHK Flat  for Rent in Hitech City, Hyderabad",3.0,Hitech City,,Furnished,3,Bachelors/Family,Immediately,3430,super-area,10,27,West,3,38
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",3.0,"Tellapur, Outer Ring Road",,Semi-Furnished,2,Bachelors,Immediately,1573,super-area,23,24,West,1,38
"4 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",4.0,"Kokapet, Outer Ring Road",22000.0,Furnished,6,Family,Immediately,5134,carpet-area,13,28,West,4,38
"3 BHK Flat  for Rent in Anjaiah Nagar Gachibowli, Hyderabad",3.0,Anjaiah Nagar Gachibowli,8500.0,Semi-Furnished,3,Family,Immediately,2600,carpet-area,3,5,East,1,38
"3 BHK Flat  for Rent in Whitefields, Hyderabad",3.0,Whitefields,7000.0,Unfurnished,3,Bachelors,Immediately,2000,carpet-area,7,10,West,1,38
"2 BHK Flat  for Rent in Banjara Hills, NH 9, Hyderabad",2.0,"Banjara Hills, NH 9",,Furnished,2,Bachelors/Family,Immediately,1375,carpet-area,3,5,North - East,3,39
"3 BHK Flat  for Rent in Pragathi Nagar, Kukatpally, Hyderabad",3.0,"Pragathi Nagar, Kukatpally",,Semi-Furnished,4,Family,Immediately,1585,carpet-area,6,9,West,3,39
"4 BHK Flat  for Rent in Nandagiri Hills, Jubilee Hills, Hyderabad",4.0,"Nandagiri Hills, Jubilee Hills",15000.0,Semi-Furnished,5,Bachelors/Family,Immediately,4500,super-area,1,4,West,2,39
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",2.0,Gachibowli,5000.0,Semi-Furnished,2,Bachelors/Family,Immediately,1000,carpet-area,26,32,East,2,39
"3 BHK Flat  for Rent in Hitech City, Hyderabad",3.0,Hitech City,10000.0,Semi-Furnished,3,Family,Immediately,2595,carpet-area,18,35,West,1,39
"3 BHK Flat  for Rent in Narsinghi, Hyderabad",3.0,Narsinghi,7500.0,Furnished,3,Family,Immediately,2000,carpet-area,17,30,West,1,39
"1 BHK Flat  for Rent in Hafeezpet, NH 9, Hyderabad",1.0,"Hafeezpet, NH 9",,Semi-Furnished,1,Bachelors/Family,Immediately,600,carpet-area,2,5,,1,40
"2 BHK Flat  for Rent in Gachibowli Kondapur Road, Hyderabad",2.0,Gachibowli Kondapur Road,,Furnished,2,Bachelors/Family,Immediately,1350,carpet-area,4,7,East,1,40
"3 BHK Flat  for Rent in Begumpet, Hyderabad",3.0,Begumpet,,Furnished,3,Bachelors/Family,Immediately,1900,carpet-area,1,2,North - West,3,40
"2 BHK Flat  for Rent in Jubilee Hills, Hyderabad",2.0,Jubilee Hills,3000.0,Semi-Furnished,3,Bachelors,Immediately,2500,carpet-area,1,4,East,2,40
"3 BHK Flat  for Rent in Nanakaramguda, Hyderabad",3.0,Nanakaramguda,,Semi-Furnished,3,Bachelors/Family,Immediately,1935,super-area,5,9,East,2,40
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",2.0,Gachibowli,,Furnished,2,Bachelors,From Apr '26,1492,super-area,25,34,West,1,41
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,2000.0,Semi-Furnished,3,Bachelors,Immediately,1700,carpet-area,2,4,East,2,41
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,5000.0,Semi-Furnished,2,Bachelors,Immediately,1016,carpet-area,10,24,East,2,41
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,9000.0,Furnished,5,Bachelors,Immediately,2530,carpet-area,9,9,West,2,42
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,9000.0,Furnished,5,Bachelors,Immediately,2531,carpet-area,9,9,West,2,42
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",6500.0,Semi-Furnished,3,Bachelors,Immediately,1715,super-area,7,39,West,2,42
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",5000.0,Semi-Furnished,2,Bachelors,Immediately,1370,super-area,21,39,West,1,42
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",5000.0,Semi-Furnished,2,Bachelors,Immediately,950,carpet-area,24,39,East,1,42
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",,Semi-Furnished,2,Bachelors,Immediately,1000,carpet-area,24,39,East,1,42
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",,Semi-Furnished,2,Family,Immediately,882,carpet-area,24,39,East,1,42
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",,Semi-Furnished,2,Bachelors,Immediately,871,carpet-area,24,39,East,1,42
"1 BHK Flat  for Rent in Nallagandla Tellapur Road, Hyderabad",1.0,Nallagandla Tellapur Road,1000.0,Furnished,1,Bachelors/Family,Immediately,600,carpet-area,4,6,South,2,42
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,,Semi-Furnished,2,Bachelors/Family,Immediately,1560,super-area,5,25,East,1,42
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",4.0,Gachibowli,23000.0,Furnished,5,Family,Immediately,4500,super-area,6,24,East,2,42
"3 BHK Flat  for Rent in Pocharam, NH 2 2, Hyderabad",3.0,"Pocharam, NH 2 2",,Semi-Furnished,2,Bachelors/Family,Immediately,1210,carpet-area,,,West,1,43
"3 BHK Flat  for Rent in Nallagandla Tellapur Road, Hyderabad",3.0,Nallagandla Tellapur Road,,Semi-Furnished,2,Bachelors,From Jan '35,1605,super-area,11,24,West,1,43
"3 BHK Flat  for Rent in Puppalguda, Hyderabad",3.0,Puppalguda,3000.0,Semi-Furnished,3,Bachelors,Immediately,1982,super-area,13,30,East,1,43
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,6000.0,Semi-Furnished,2,Bachelors,Immediately,1500,super-area,19,39,East,1,43
"3 BHK Flat  for Rent in Alkapoor, Hyderabad",3.0,Alkapoor,1000.0,Semi-Furnished,2,Family,Immediately,1550,carpet-area,3,5,North,1,43
"3 BHK Flat  for Rent in Jubilee Hills, Hyderabad",3.0,Jubilee Hills,5000.0,Semi-Furnished,4,Bachelors,Immediately,4000,carpet-area,5,6,East,3,43
"6 BHK Flat  for Rent in Gachibowli, Hyderabad",6.0,Gachibowli,29000.0,Furnished,4,Family,Immediately,5700,carpet-area,25,27,,4,43
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",4.0,Gachibowli,,Semi-Furnished,4,Bachelors/Family,Immediately,4340,super-area,2,14,East,4,43
"3 BHK Flat  for Rent in Madhapur, Hyderabad",3.0,Madhapur,10300.0,Furnished,3,Bachelors/Family,Immediately,2310,super-area,14,18,West,2,44
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",4.0,Gachibowli,7500.0,Semi-Furnished,4,Bachelors,Immediately,2580,super-area,13,14,East,4,44
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",7000.0,Furnished,3,Bachelors/Family,Immediately,1600,carpet-area,7,15,West,2,44
"Studio Apartment  for Rent in Banjara Hills, NH 9, Hyderabad",,"Banjara Hills, NH 9",,Semi-Furnished,1,Bachelors/Family,Immediately,300,carpet-area,2,2,North - East,3,44
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",,Semi-Furnished,2,Bachelors,Immediately,900,carpet-area,24,39,East,1,44
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",,Semi-Furnished,2,Bachelors,Immediately,980,carpet-area,24,39,East,1,44
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",6000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,24,39,East,1,45
"4 BHK Flat  for Rent in Financial District, Nanakram Guda, Hyderabad",4.0,"Financial District, Nanakram Guda",9000.0,Furnished,2,Bachelors/Family,Immediately,1700,carpet-area,6,20,East,2,45
"4 BHK Flat  for Rent in Kondapur, Hyderabad",4.0,Kondapur,,Semi-Furnished,4,Bachelors,Immediately,2374,carpet-area,9,24,East,2,45
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",7000.0,Semi-Furnished,3,Bachelors,Immediately,1400,carpet-area,24,34,West,2,45
"3 BHK Flat  for Rent in Manikonda Jagir, Hyderabad",3.0,Manikonda Jagir,,Semi-Furnished,3,Bachelors,Immediately,2405,super-area,12,14,East,1,45
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,8000.0,Semi-Furnished,3,Bachelors,Immediately,1700,carpet-area,10,24,East,2,45
"2 BHK Flat  for Rent in Nanakaramguda, Hyderabad",2.0,Nanakaramguda,,Furnished,2,Bachelors,Immediately,1275,super-area,14,26,East,1,46
"2 BHK Flat  for Rent in Banjara Hills, NH 9, Hyderabad",2.0,"Banjara Hills, NH 9",,Furnished,2,Bachelors/Family,Immediately,1200,carpet-area,2,6,North - East,2,46
"3 BHK Flat  for Rent in Chanda Nagar, Hyderabad",3.0,Chanda Nagar,6500.0,Semi-Furnished,3,Bachelors/Family,Immediately,1825,super-area,14,14,East,2,46
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,8750.0,Semi-Furnished,3,Bachelors,Immediately,1810,carpet-area,10,32,East,1,46
"3 BHK Flat  for Rent in Lumbini Avenue, Gachibowli, Outer Ring Road, Hyderabad",3.0,"Lumbini Avenue, Gachibowli, Outer Ring Road",12000.0,Semi-Furnished,4,Family,Immediately,3200,carpet-area,7,9,East,2,46
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",6500.0,Semi-Furnished,3,Bachelors,Immediately,1310,carpet-area,26,30,East,1,46
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",2.0,Gachibowli,4500.0,Semi-Furnished,2,Bachelors/Family,Immediately,808,carpet-area,6,18,West,1,46
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,5000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1200,carpet-area,17,25,East,1,46
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",5500.0,Semi-Furnished,3,Bachelors,Immediately,1560,carpet-area,22,40,East,1,46
"2 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",2.0,"Tellapur, Outer Ring Road",4250.0,Semi-Furnished,2,Bachelors,Immediately,1100,carpet-area,8,10,West,1,46
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Semi-Furnished,3,Bachelors/Family,Immediately,2335,super-area,20,40,East,2,47
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Semi-Furnished,3,Bachelors/Family,Immediately,2020,carpet-area,22,40,East,2,47
"1 BHK Flat  for Rent in Banjara Hills, NH 9, Hyderabad",1.0,"Banjara Hills, NH 9",,Semi-Furnished,1,Bachelors,Immediately,800,carpet-area,4,5,,2,47
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,5000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1400,carpet-area,11,14,West,3,47
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,7000.0,Furnished,3,Bachelors/Family,Immediately,1490,super-area,18,19,East,2,47
"3 BHK Flat  for Rent in Chanda Nagar, Hyderabad",3.0,Chanda Nagar,6500.0,Semi-Furnished,3,Bachelors/Family,Immediately,1665,super-area,7,14,East,2,47
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",7000.0,Semi-Furnished,3,Bachelors,Immediately,1715,carpet-area,,,East,1,47
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",6000.0,Semi-Furnished,2,Bachelors,Immediately,1370,carpet-area,,,West,1,47
2 BHK Flat  for Rent in  Hyderabad,2.0,Hyderabad,,Semi-Furnished,2,Bachelors,From Apr '26,1100,carpet-area,3,9,West,2,48
"2 BHK Flat  for Rent in Begumpet, Hyderabad",2.0,Begumpet,,Semi-Furnished,2,Bachelors/Family,From Apr '26,1100,carpet-area,3,9,East,2,48
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,10000.0,Furnished,3,Bachelors,Immediately,2370,super-area,13,24,East,2,48
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,5000.0,Semi-Furnished,3,Bachelors,Immediately,1945,super-area,17,26,East,2,48
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Semi-Furnished,2,Bachelors/Family,Immediately,1340,super-area,13,18,,1,48
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,580,carpet-area,5,5,North,1,48
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,550,carpet-area,4,5,North,1,48
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Semi-Furnished,3,Bachelors,Immediately,2125,super-area,18,31,West,1,48
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,6200.0,Unfurnished,2,Bachelors,Immediately,1492,super-area,3,34,West,1,48
"2 BHK Flat  for Rent in Jubilee Hills, Hyderabad",2.0,Jubilee Hills,1000.0,Semi-Furnished,3,Bachelors/Family,From Apr '26,1200,carpet-area,4,4,East,2,48
"1 BHK Flat  for Rent in Begumpet, Hyderabad",1.0,Begumpet,,Semi-Furnished,1,Bachelors,Immediately,700,carpet-area,1,2,North - West,3,48
"3 BHK Flat  for Rent in Hitech City, Hyderabad",3.0,Hitech City,5000.0,Semi-Furnished,3,Bachelors,Immediately,1580,carpet-area,,,West,1,49
"3 BHK Flat  for Rent in Kukatpally, NH 9, Hyderabad",3.0,"Kukatpally, NH 9",6000.0,Semi-Furnished,3,Bachelors,Immediately,1860,carpet-area,,,West,1,49
"3 BHK Flat  for Rent in Kakatiya Hills Kavuri Hills, Hyderabad",3.0,Kakatiya Hills Kavuri Hills,6000.0,Semi-Furnished,3,Bachelors,From Mar '26,3000,carpet-area,3,5,North - East,2,49
"3 BHK Flat  for Rent in Alkapur Township, Manikonda, Outer Ring Road, Hyderabad",3.0,"Alkapur Township, Manikonda, Outer Ring Road",2000.0,Semi-Furnished,3,Family,Immediately,1900,super-area,2,5,East,2,49
"4 BHK Flat  for Rent in Madhapur, Hyderabad",4.0,Madhapur,10000.0,Furnished,4,Bachelors,Immediately,3190,super-area,5,16,East,3,49
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Semi-Furnished,3,Bachelors/Family,Immediately,2020,super-area,20,39,West,1,49
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",8000.0,Furnished,3,Bachelors,Immediately,1945,super-area,14,35,East,1,49
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,550,carpet-area,4,5,North,1,49
"3 BHK Flat  for Rent in Financial District, Nanakram Guda, Hyderabad",3.0,"Financial District, Nanakram Guda",48000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1200,carpet-area,6,28,West,1,49
"3 BHK Flat  for Rent in Kakatiya Hills Kavuri Hills, Hyderabad",3.0,Kakatiya Hills Kavuri Hills,10000.0,Furnished,3,Bachelors/Family,Immediately,2100,carpet-area,3,5,East,2,50
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",3.0,"Tellapur, Outer Ring Road",,Semi-Furnished,2,Bachelors,Immediately,1573,super-area,14,39,East,1,50
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,5000.0,Semi-Furnished,3,Bachelors,Immediately,2085,super-area,7,16,East,3,50
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Furnished,3,Bachelors,Immediately,2335,super-area,34,40,East,1,50
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",6000.0,Semi-Furnished,3,Bachelors,Immediately,1715,super-area,8,39,East,1,50
"2 BHK Flat  for Rent in Banjara Hills, NH 9, Hyderabad",2.0,"Banjara Hills, NH 9",,Furnished,2,Bachelors/Family,Immediately,1250,carpet-area,2,5,West,2,50
